case_index,H,D,B,num_segs,seg_lengths,rules,matched_prefix_arr,total_runs,passed,status,mare_min,mare_max,mere_min,mere_max,rmse_min,rmse_max
0,8,128,1,4,1600|8|200|1200,0|1|2x2,0,500,500,PASS,5.2338e-01,1.5582e+00,7.3183e-03,7.4770e-03,3.1633e-04,3.2400e-04
1,8,128,2,4,1600|8|200|1200;1700|8|300|1024,0|1|2x2,0x2,10,10,PASS,6.2280e-01,6.2280e-01,7.4196e-03,7.4196e-03,3.1899e-04,3.1899e-04
2,8,128,4,4,1600|8|200|1200;1700|8|300|1024;1680|8|200|1280;2000|8|700|2048,0|1|2x2,0x4,10,10,PASS,8.4020e-01,8.4020e-01,7.2980e-03,7.2980e-03,3.0273e-04,3.0273e-04
3,8,128,8,4,2200|8|200|1024;1700|8|100|1100;2440|8|200|2048;1600|8|600|1900;3300|8|200|1300;1700|8|300|2100;1780|8|700|1200;2048|8|500|1800,0|1|2x2,0x8,500,500,PASS,7.2540e-01,2.0520e+00,7.1693e-03,7.2076e-03,2.8478e-04,2.8744e-04
4,8,128,1,4,1600|8|10|1200,0|1|2x2,0,10,10,PASS,6.1038e-01,6.1038e-01,7.4145e-03,7.4145e-03,3.2658e-04,3.2658e-04
5,8,128,2,5,1600|8x2|12|1200;1700|8|6|15|1024,0|1|2x3,0x2,10,10,PASS,1.1054e+00,1.1054e+00,7.4279e-03,7.4279e-03,3.2715e-04,3.2715e-04
6,8,128,4,7,1600|8|5|6|7|8|1200;1700|8|10|12|13|15|1024;1680|8|10|12|13|15|1280;2000|8|13|14|15x2|2048,0|1|2x5,0x4,10,10,PASS,8.3935e-01,8.3935e-01,7.3992e-03,7.3992e-03,3.1413e-04,3.1413e-04
7,8,128,8,11,2200|8|5x8|1024;1700|8|5x7|10|1100;2440|8|5x7|12|2048;1600|8|5|15|5x6|1900;3300|8|5|10x2|5x5|1300;1700|8|15x2|5x6|2100;1780|8|15x3|5x5|1200;2048|8|15x4|5x4|1800,0|1|2x9,0x8,10,10,PASS,9.9168e-01,9.9168e-01,7.2586e-03,7.2586e-03,2.9461e-04,2.9461e-04
8,8,128,1,4,1600|8|5|1200,0|1|2x2,0,10,10,PASS,5.2615e-01,5.2615e-01,7.4117e-03,7.4117e-03,3.3183e-04,3.3183e-04
9,8,128,1,5,1600|8|5x2|1200,0|1|2x3,0,10,10,PASS,8.9241e-01,8.9241e-01,7.4624e-03,7.4624e-03,3.2829e-04,3.2829e-04
10,8,128,1,7,1600|8|5x4|1200,0|1|2x5,0,10,10,PASS,6.8067e-01,6.8067e-01,7.4380e-03,7.4380e-03,3.2477e-04,3.2477e-04
11,8,128,1,10,1600|8|5x7|1200,0|1|2x8,0,10,10,PASS,6.2172e-01,6.2172e-01,7.4726e-03,7.4726e-03,3.2870e-04,3.2870e-04
12,8,128,1,11,1600|8|5x8|1200,0|1|2x9,0,10,10,PASS,7.9694e-01,7.9694e-01,7.4459e-03,7.4459e-03,3.2920e-04,3.2920e-04
13,8,128,1,18,1600|8|5x15|1200,0|1|2x16,0,10,10,PASS,6.6194e-01,6.6194e-01,7.4611e-03,7.4611e-03,3.2429e-04,3.2429e-04
14,8,128,1,19,1600|8|5x16|1200,0|1|2x17,0,500,500,PASS,5.0872e-01,1.2984e+00,7.3652e-03,7.4794e-03,3.2002e-04,3.2976e-04
15,8,128,1,28,1600|8|5x25|1200,0|1|2x26,0,10,10,PASS,6.2291e-01,6.2291e-01,7.4134e-03,7.4134e-03,3.2111e-04,3.2111e-04
16,8,128,1,35,1600|8|5x32|1200,0|1|2x33,0,10,10,PASS,1.0429e+00,1.0429e+00,7.4127e-03,7.4127e-03,3.2429e-04,3.2429e-04
17,8,128,1,46,1600|8|5x43|1200,0|1|2x44,0,10,10,PASS,7.4351e-01,7.4351e-01,7.4188e-03,7.4188e-03,3.1768e-04,3.1768e-04
18,8,128,1,66,1600|8|5x63|1200,0|1|2x64,0,10,10,PASS,6.5617e-01,6.5617e-01,7.3153e-03,7.3153e-03,3.1215e-04,3.1215e-04
19,8,128,1,67,1600|8|5x64|1200,0|1|2x65,0,10,10,PASS,6.7871e-01,6.7871e-01,7.3909e-03,7.3909e-03,3.1266e-04,3.1266e-04
20,8,128,1,88,1600|8|5x85|1200,0|1|2x86,0,10,10,PASS,6.6357e-01,6.6357e-01,7.3272e-03,7.3272e-03,3.0976e-04,3.0976e-04
21,8,128,1,122,1600|8|5x119|1200,0|1|2x120,0,10,10,PASS,6.3076e-01,6.3076e-01,7.2723e-03,7.2723e-03,2.9916e-04,2.9916e-04
22,8,128,1,131,1600|8|5x128|1200,0|1|2x129,0,10,10,PASS,1.0219e+00,1.0219e+00,7.2055e-03,7.2055e-03,3.0229e-04,3.0229e-04
23,8,128,1,146,1600|8|5x143|1200,0|1|2x144,0,10,10,PASS,6.3776e-01,6.3776e-01,7.2656e-03,7.2656e-03,2.9705e-04,2.9705e-04
24,8,128,1,259,1600|8|5x256|1200,0|1|2x257,0,10,10,PASS,6.3217e-01,6.3217e-01,7.1120e-03,7.1120e-03,2.8053e-04,2.8053e-04
25,8,128,1,515,1600|8|5x512|1200,0|1|2x513,0,10,10,PASS,1.2323e+00,1.2323e+00,6.9126e-03,6.9126e-03,2.5421e-04,2.5421e-04
26,8,128,1,1027,1600|8|5x1024|1200,0|1|2x1025,0,10,10,PASS,1.7953e+00,1.7953e+00,6.5221e-03,6.5221e-03,2.1819e-04,2.1819e-04
27,8,128,1,4,1600|8|4|1200,0|1|2x2,0,10,10,PASS,7.1924e-01,7.1924e-01,7.4471e-03,7.4471e-03,3.3258e-04,3.3258e-04
28,8,128,1,4,1600|8x2|1200,0|1|2x2,0,10,10,PASS,5.6407e-01,5.6407e-01,7.3959e-03,7.3959e-03,3.2820e-04,3.2820e-04
29,8,128,1,4,1600|8|16|1200,0|1|2x2,0,10,10,PASS,7.6594e-01,7.6594e-01,7.4225e-03,7.4225e-03,3.2936e-04,3.2936e-04
30,8,128,1,4,1600|8|32|1200,0|1|2x2,0,500,500,PASS,4.3507e-01,1.1736e+00,7.3714e-03,7.5407e-03,3.2172e-04,3.3236e-04
31,8,128,1,4,1600|8|64|1200,0|1|2x2,0,10,10,PASS,7.1174e-01,7.1174e-01,7.4375e-03,7.4375e-03,3.2616e-04,3.2616e-04
32,8,128,1,4,1600|8|128|1200,0|1|2x2,0,10,10,PASS,7.4135e-01,7.4135e-01,7.3882e-03,7.3882e-03,3.2171e-04,3.2171e-04
33,8,128,1,4,1600|8|256|1200,0|1|2x2,0,10,10,PASS,6.0726e-01,6.0726e-01,7.3888e-03,7.3888e-03,3.1758e-04,3.1758e-04
34,8,128,1,4,1600|8|512|1200,0|1|2x2,0,10,10,PASS,6.4513e-01,6.4513e-01,7.3239e-03,7.3239e-03,3.0990e-04,3.0990e-04
35,8,128,4,67,1600|8|16x64|1024;1600|8|16x64|1024;1600|8|16x64|1024;1600|8|16x64|1024,0|1|2x65,0x4,10,10,PASS,9.1627e-01,9.1627e-01,7.2130e-03,7.2130e-03,2.9443e-04,2.9443e-04
36,8,128,2,67,2400|8|16x64|1200;2400|8|16x64|1200,0|1|2x65,0x2,10,10,PASS,1.1998e+00,1.1998e+00,7.0045e-03,7.0045e-03,2.6917e-04,2.6917e-04
37,8,128,1,67,2000|8|16x64|1200,0|1|2x65,0,500,500,PASS,5.1741e-01,1.4922e+00,7.0336e-03,7.1802e-03,2.7380e-04,2.8175e-04
38,8,128,2,131,1600|8|16x128|1024;1600|8|16x128|1024,0|1|2x129,0x2,10,10,PASS,7.3890e-01,7.3890e-01,6.9718e-03,6.9718e-03,2.6895e-04,2.6895e-04
39,8,128,1,131,3200|8|16x128|1024,0|1|2x129,0,10,10,PASS,7.3185e-01,7.3185e-01,6.7668e-03,6.7668e-03,2.3725e-04,2.3725e-04
40,8,128,1,259,1600|8|16x256|1024,0|1|2x257,0,10,10,PASS,1.0042e+00,1.0042e+00,6.6609e-03,6.6609e-03,2.3021e-04,2.3021e-04
41,8,128,1,515,2000|8|16x512|1200,0|1|2x513,0,10,10,PASS,8.8467e-01,8.8467e-01,6.2451e-03,6.2451e-03,1.8790e-04,1.8790e-04
42,8,128,2,67,1600|8|32x64|1200;1600|8|32x64|1200,0|1|2x65,0x2,10,10,PASS,6.6069e-01,6.6069e-01,6.9911e-03,6.9911e-03,2.6252e-04,2.6252e-04
43,8,128,2,67,3200|8|64x64|1200;3200|8|64x64|1200,0|1|2x65,0x2,10,10,PASS,1.1802e+00,1.1802e+00,6.5057e-03,6.5057e-03,2.1233e-04,2.1233e-04
44,8,128,1,67,3200|8|64x64|1800,0|1|2x65,0,10,10,PASS,6.1336e-01,6.1336e-01,6.4359e-03,6.4359e-03,2.0482e-04,2.0482e-04
45,8,128,1,67,1600|8|128x64|1200,0|1|2x65,0,10,10,PASS,7.7307e-01,7.7307e-01,6.2919e-03,6.2919e-03,1.9165e-04,1.9165e-04
46,8,128,2,131,3200|8|32x128|1800;3200|8|32x128|1800,0|1|2x129,0x2,10,10,PASS,6.0128e-01,6.0128e-01,6.4409e-03,6.4409e-03,2.0524e-04,2.0524e-04
47,8,128,1,131,2400|8|32x128|1200,0|1|2x129,0,10,10,PASS,9.0386e-01,9.0386e-01,6.5686e-03,6.5686e-03,2.2002e-04,2.2002e-04
48,8,128,1,131,2000|8|64x128|1800,0|1|2x129,0,10,10,PASS,8.4291e-01,8.4291e-01,6.2060e-03,6.2060e-03,1.8460e-04,1.8460e-04
49,8,128,1,259,1600|8|32x256|1024,0|1|2x257,0,10,10,PASS,6.8432e-01,6.8432e-01,6.2922e-03,6.2922e-03,1.9234e-04,1.9234e-04
50,8,128,4,35,1600|8|5x32|1800;1600|8|5x32|1800;1600|8|5x32|1800;1600|8|5x32|1800,0|1|2x33,0x4,10,10,PASS,1.2761e+00,1.2761e+00,7.3745e-03,7.3745e-03,3.0271e-04,3.0271e-04
51,8,128,2,35,1600|8|5x32|2048;1600|8|5x32|2048,0|1|2x33,0x2,10,10,PASS,6.3845e-01,6.3845e-01,7.3169e-03,7.3169e-03,2.9675e-04,2.9675e-04
52,8,128,1,35,2400|8|5x32|1024,0|1|2x33,0,500,500,PASS,5.0136e-01,1.1676e+00,7.1329e-03,7.2791e-03,2.9212e-04,3.0057e-04
53,8,128,2,35,1600|8|7x32|2048;1600|8|7x32|2048,0|1|2x33,0x2,10,10,PASS,7.0625e-01,7.0625e-01,7.3427e-03,7.3427e-03,2.9375e-04,2.9375e-04
54,8,128,1,35,2400|8|7x32|1800,0|1|2x33,0,10,10,PASS,5.9516e-01,5.9516e-01,7.0660e-03,7.0660e-03,2.7542e-04,2.7542e-04
55,8,128,2,35,1600|8|10x32|1200;1600|8|10x32|1200,0|1|2x33,0x2,10,10,PASS,8.0619e-01,8.0619e-01,7.3216e-03,7.3216e-03,3.1280e-04,3.1280e-04
56,8,128,1,35,2000|8|10x32|1800,0|1|2x33,0,10,10,PASS,5.9464e-01,5.9464e-01,7.1599e-03,7.1599e-03,2.8518e-04,2.8518e-04
57,8,128,1,35,2400|8|12x32|1200,0|1|2x33,0,10,10,PASS,7.1705e-01,7.1705e-01,7.1713e-03,7.1713e-03,2.8579e-04,2.8579e-04
58,8,128,1,35,2000|8|15x32|1024,0|1|2x33,0,10,10,PASS,6.4538e-01,6.4538e-01,7.2267e-03,7.2267e-03,3.0095e-04,3.0095e-04
59,8,128,2,53,3200|8|5x50|1024;3200|8|5x50|1024,0|1|2x51,0x2,10,10,PASS,9.4334e-01,9.4334e-01,7.0269e-03,7.0269e-03,2.7085e-04,2.7085e-04
60,8,128,1,53,3200|8|5x50|1024,0|1|2x51,0,10,10,PASS,5.4802e-01,5.4802e-01,7.0292e-03,7.0292e-03,2.7005e-04,2.7005e-04
61,8,128,1,53,1600|8|7x50|1800,0|1|2x51,0,10,10,PASS,7.9561e-01,7.9561e-01,7.2713e-03,7.2713e-03,2.9727e-04,2.9727e-04
62,8,128,1,53,3200|8|10x50|1024,0|1|2x51,0,10,10,PASS,6.4359e-01,6.4359e-01,7.0275e-03,7.0275e-03,2.6485e-04,2.6485e-04
63,8,128,1,53,1600|8|12x50|1024,0|1|2x51,0,10,10,PASS,6.4340e-01,6.4340e-01,7.3234e-03,7.3234e-03,3.1031e-04,3.1031e-04
64,8,128,1,53,2000|8|15x50|1200,0|1|2x51,0,10,10,PASS,5.5509e-01,5.5509e-01,7.1226e-03,7.1226e-03,2.8336e-04,2.8336e-04
65,8,128,1,67,1600|8|5x64|1800,0|1|2x65,0,10,10,PASS,6.7742e-01,6.7742e-01,7.2786e-03,7.2786e-03,2.9654e-04,2.9654e-04
66,8,128,1,67,3200|8|7x64|2048,0|1|2x65,0,10,10,PASS,1.2581e+00,1.2581e+00,6.8734e-03,6.8734e-03,2.4683e-04,2.4683e-04
67,8,128,1,67,2400|8|10x64|2048,0|1|2x65,0,10,10,PASS,9.0733e-01,9.0733e-01,7.0073e-03,7.0073e-03,2.6106e-04,2.6106e-04
68,8,128,1,67,1600|8|12x64|1800,0|1|2x65,0,10,10,PASS,9.8156e-01,9.8156e-01,7.1735e-03,7.1735e-03,2.8669e-04,2.8669e-04
69,8,128,1,67,2400|8|15x64|2048,0|1|2x65,0,10,10,PASS,8.2336e-01,8.2336e-01,6.8985e-03,6.8985e-03,2.5356e-04,2.5356e-04
70,8,128,1,4,1600|8|5|1200,0|1|2x2,128,10,10,PASS,4.7810e-01,4.7810e-01,7.4126e-03,7.4126e-03,2.6531e-04,2.6531e-04
71,8,128,1,4,1600|8|5|1200,0|1|2x2,256,10,10,PASS,4.2900e-01,4.2900e-01,7.4709e-03,7.4709e-03,2.4540e-04,2.4540e-04
72,8,128,1,4,1600|8|5|1200,0|1|2x2,512,500,500,PASS,2.6390e-01,4.8863e-01,7.2551e-03,7.4281e-03,2.2048e-04,2.2476e-04
73,8,128,1,4,1600|8|5|1200,0|1|2x2,1024,10,10,PASS,2.9827e-01,2.9827e-01,7.2968e-03,7.2968e-03,2.0166e-04,2.0166e-04
74,8,128,1,7,1600|8|5x4|1200,0|1|2x5,128,10,10,PASS,5.6440e-01,5.6440e-01,7.4609e-03,7.4609e-03,2.6587e-04,2.6587e-04
75,8,128,1,7,1600|8|5x4|1200,0|1|2x5,256,10,10,PASS,3.7484e-01,3.7484e-01,7.4169e-03,7.4169e-03,2.4560e-04,2.4560e-04
76,8,128,1,7,1600|8|5x4|1200,0|1|2x5,512,10,10,PASS,3.4252e-01,3.4252e-01,7.3445e-03,7.3445e-03,2.2169e-04,2.2169e-04
77,8,128,1,7,1600|8|5x4|1200,0|1|2x5,1024,10,10,PASS,2.8938e-01,2.8938e-01,7.1569e-03,7.1569e-03,2.0060e-04,2.0060e-04
78,8,128,1,11,1600|8|5x8|1200,0|1|2x9,128,10,10,PASS,5.1148e-01,5.1148e-01,7.4219e-03,7.4219e-03,2.6576e-04,2.6576e-04
79,8,128,1,11,1600|8|5x8|1200,0|1|2x9,256,10,10,PASS,3.8160e-01,3.8160e-01,7.3338e-03,7.3338e-03,2.4311e-04,2.4311e-04
